"name","price","Bedrooms","baths","space","details","time"
"فيلا للبيع في شارع الحيازين ، حي النفل ، الرياض ، الرياض","3,300,000 ريال","5","5","425 م²","فيلا مميزة مع شقة بناء شخصي في الرياض الحي النفل المساحة 425 متر مربع – الواجهة جنوبية – الشارع 15متر تتميز الفيلا بأنها بناء شخصي 100% وبأشراف ومتابعة شخصية من قبل المالك كما تمتاز بقربها من المسجد وكذلك الطرق الرئيسية وجميع الخدمات بالإضافة إلى سهو...","قبل 4 دقيقة"
"فيلا للبيع في حي حطين ، الرياض ، الرياض","2,200,000 ريال","2","4","306 م²","للبيع بحطين النموزجي درج صاله
المساحه ٣٠٦ متر
جنوبيه شارع ١٥
مواصفات الفيلا
الدور الارضي 
مجلس رجال ومجلس نساء وصاله
وغرفه سائق ومدخل سياره
والدور العلوي
٤ غرف نوم
السطح
غرفه غسيل وغرفه خادمه وصاله رياضيه
السوم ٢ مليون ١٥٠
فرق السوم بياع ان شاء الله","قبل 4 دقيقة"
"فيلا للبيع في حي الياسمين ، الرياض ، الرياض","2,000,000 ريال","5","5","390 م²","فيلا واجهه شماليه، معظم الغرف لم تستخدم. بحاله ممتازه.","قبل 4 دقيقة"
"احجز فيلا في مشروع واحة الدمام","698,995 ريال","4","5","335 م²","اشتري اليوم ولك خصم من 30 الف ريال و حتى 75 الف ريال
مشروع واحة الدمام سكنك المثالي لجودة حياة متميزة 
 يتكون مشروع واحة الدمام من 2341 وحدة
سكنية عبارة عن فلل منفصلة 
مكونة من طابقين ودور علوي بهما من 4 إلى 5 غرف نوم بطراز متميز وتصاميم متعددة 
و...",""
"فيلا للبيع في حي الياسمين ، الرياض ، الرياض","2,450,000 ريال","5","5","312 م²","فلل لازورد في حي الياسمين المربع الذهبي ( مربع 16 ) 
* الحي مكتمل الخدمات 
- مساحة الفيلا 312 متر مربع
- تصميم مودرن وتشطيب فاخر ومميز
- 5 غرف نوم
- غرفة رياضة
- صالة ألعاب
- واجهات زجاجية
- تكييف مخفي
- غرفة سائق وخادمة
- جلسات خارجية 
- اشراف هند...","قبل 4 دقيقة"
"فيلا للبيع في شارع ابي فالج الانصاري ، حي العقيق ، الرياض ، الرياض","1,500,000 ريال","7","5","312 م²","فيلا بحي العقيق 312.5م
>الدور الارضي/استقبال
مجلس،مقلط،صالة ،3دورات مياة
>الدور الاول/ 5 غرف نوم (2 منها ماستر) ودوره مياة لحالها 
>الدور الثاني/ 2غرفه+1دورة مياة +غرفة خادمة+غرفة غسيل 
ملاحظات///
-الفله مؤجرة ع عائلة وينتهي العقد بعد (8 أشهر) و...","قبل 4 دقيقة"
"فيلا للبيع في شارع المجامين ، حي حطين ، الرياض ، الرياض","2,500,000 ريال","5","5","300 م²","للبيع فلل بحطين درج صاله شغل مودرن
المساحه ٣٧٥ متر
الوجهه غربيه شارع ١٥
و مساحه ٣٠٠ متر زاويه 
و٣٠٠ شارع واحد 
*مواصفات الفيلا*
الدور الارضي 
مجلس رجال ومقلط ومجلس نساء وصاله وملحق خارجي 
وغرفه سائق و مدخل سياره 
الدور العلوي
٤ غرف نوم وصاله
١ غرفه ...","قبل 36 دقيقة"
"فيلا للبيع في شارع ناوان ، حي التعاون ، الرياض ، الرياض","2,200,000 ريال","6","5","312 م²","السلام عليكم ورحمة الله وبركاته 
أسعد الله أوقاتكم بكُل خير 
للبيع فلل مودرن في حي التعاون مخرج 7 
المساحة :312.5 والواجهات شماليه | جنوبيه
الموقع جدا مميز وراقي بالقرب من الدائري الشمالي التصميم عصري ""مودرن""  فاخر 
التصميم من شركة ليزوان 
 التن...","قبل 4 دقيقة"
"فيلا للبيع في حي الياسمين ، الرياض ، الرياض","2,500,000 ريال","4","5","364 م²","للبيع ٤ فلل حي الياسمين 
مربع ١٥
المساحة ٣٤٦
المتبقي عدد فلتين فقط","قبل 4 دقيقة"
"فيلا للبيع في شارع الجيب ، حي الملقا ، الرياض ، الرياض","2,100,000 ريال","7","5","420 م²","(دور+دور+شقة)  
‏الحي :الملقا على شارع 15م شمالية 
‏رقم الكود : E-781
‏المساحة:420م2 
‏للاستعلام 
‏0590861416
‏920003566","قبل ساعة"
"فيلا للبيع في شارع مستورة ، حي الوادي ، الرياض ، الرياض","2,500,000 ريال","7","5","377 م²","فيلا درج داخلي مع شقة دورين بمدخل وعداد خاص 
اشراف وتنفيذ مجموعة للبناء فنون الى مرحلة العظم 
مرحلة التشطيب يوجد مخطط ثلاثي الابعاد لكامل الفيلا 
جميع التفاصيل والمواد مرفقه بالصور 
الفيلا تم انشائها سكن خاص والبيع لظروف خاصة كما ويوجد جميع الضما...","قبل 4 دقيقة"
"فيلا للبيع في حي الياسمين ، الرياض ، الرياض","2,500,000 ريال","4","5","403 م²","","قبل 17 دقيقة"
"فيلا للبيع في حي القيروان ، الرياض ، الرياض","2,500,000 ريال","7","5","300 م²","''تعدد النجاحات يقودها إلى صناعة نجاح أكبر'' 
بدأ الحجز في مشروع صفا مسكن الواقع في المربع الذهبي بحي القيروان 
يتفرد صفا مسكن بأرقى الواجهات الخارجية و أنسب التصاميم الداخلية و بشكل يتماشى مع النموذج العصري بما فيها من امتيازات لحياة مثالية تتماشى ...","قبل 4 دقيقة"
"فيلا للبيع في حي الملقا ، الرياض ، الرياض","1,950,000 ريال","4","5","280 م²","للبيع فيلا دوبلكس شغل مودرن برياض الخزامي
المساحه ٢٨٠ متر
غربيه شارع ١٨
*مواصفات الفيلا*
الدور الارضي
مجلس رجال ومجلس نساء وصاله 
وملحق خارجي وغرفه سائق 
ومدخل سياره
تكيف مخفي 
مصعد
الدور العلوي
٤ اجنحه كل غرفه بحمام وصاله
السطح 
غرفه غسيل وغرفه خادم...","قبل 45 دقيقة"
"فيلا للبيع في حي الياسمين ، الرياض ، الرياض","2,600,000 ريال","5","5","375 م²","فيلا ((مؤثثة)) استخدام خفيف جداً مع اثاث جميل 
بافضل مربع في حي الياسمين
5 غرف نوم (3 منها ماستر روم) 
الماسترالرئيسية كبيرة مع دورة مياه بجاكوزي
احد الغرف مجهزه بالكامل كغرفة ملابس مودرن مع تسريحة ميك اب 
صالة بالدور الارضي
صالة بالدور الاول مع اوفس...","قبل 4 ساعة"
"فيلا للبيع في شارع عبيدة بن ربيعة ، حي الورود ، الرياض ، الرياض","1,500,000 ريال","7","5","450 م²","فله بحي الورود مجدده بالكامل تحت اشراف مهندس 
موقع مميز (مرتفع)
مكيفات ومطابخ 
مؤجره بالكامل 
125 الف سابقاً 
88 الف حالياً 
عقود الكترونيه 
شماليه شارع 10 م. 
للتواصل الرجاء ارسال واتس او عن طريق الموقع","قبل 4 دقيقة"
"فيلا للبيع في حي الملقا ، الرياض ، الرياض","4,000,000 ريال","5","5","630 م²","للبيع فيلا مودرن فاخره زاويه
شماليه غربيه
درج بالصالة
الشارع 15م شمالي 15م غربى
المساحة 630م
السعر 4 مليون 
المواصفات
مدخل سيارة و غرفه سائق وملحق خارجي 
ومجلس و مقلط وصاله
 ومطبخ خارجى راكب ومطبخ داخلي راكب
 ومسبح وتكييف مركزي و مصعد 
و مسطحات خ...","قبل ساعة"
"فيلا للبيع في شارع الأنبار ، حي الملقا ، الرياض ، الرياض","6,000,000 ريال","5","5","1000 م²","للبيع فيلا درج صاله فقط
في حي الملقا الرويتع
حى راقي جدا
وعليا بوابات امن
مساحه ١٠٠٠م
مستخدمه ٥سنوات
الدور استقبال بالكامل
+ مدخل سياره +مدخل خاص +غرفه سائق 
الدور الارضي جميعها رخام كريم مارفل تكيف مخفى الدور الأرضي مع الغرفه الرئيسيه فقط
نوعLG
يوج...","قبل 4 ساعة"
"فيلا للبيع في حي الملقا ، الرياض ، الرياض","6,500,000 ريال","5","3","735 م²","للبيع فيلا درج صاله شغل مودرن تصميم راقي جداً
حي رياض الخزامي
المساحه ٧٣٥م زاوية جنوبي ٢٥ شرقي ٢٨
تتكون من ٠٠٠
الدور الأرضي استقبال بالكامل
حوش مدخل سياره غرفه سائق
ملحق خارجى ومجلس رجال ومجلس نساء ومقلط وصاله و مطبخ و مصعد و مسبح و تكييف مخفي و ...","قبل 53 دقيقة"
"فيلا للبيع في حي الملقا ، الرياض ، الرياض","3,700,000 ريال","5","5","630 م²","فيلا مودرن فاخره زاويه الملقا 
المساحة ٦٣٠م
شمالية شارع ١٠
غربية شارع ٢٠غربي 
فيلا جديدة درج بالصالة 
المواصفات:
مدخل سيارة و غرفه سائق وملحق خارجي ومجلس و مقلط وصاله ومطبخ خارجى راكب ومطبخ داخلي راكب ومسبح وتكييف مركزي و مصعد و مسطحات خضراء
الدور ...","قبل 5 ساعة"
"فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي حطين ، الرياض ، الرياض","10,000,000 ريال","7","5","1100 م²","فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي حطين ، الرياض ، الرياضقبل 5 ساعة10,000,000 ريال1100 م²5 7 نعتذر للوسطاء
( ( فـــيلا للـــبيع ) )
الموقــع : حى الملقا العجلان 
درج فى الصاله راقيه
 
مصعد - مسبح - ارضيات رخام - تكيف مركزى - ضمانات على الفيلا - صاله فى السطح - مسطحات خضراء 
 
المــساحـــــه : 1100 م  
عرض الشارع : 28م غربي و 15 جنوبي
تتكون ...   حي حطين - الرياض","قبل 5 ساعة"
"فيلا للبيع في شارع الديوان ، حي النرجس ، الرياض ، الرياض","2,350,000 ريال","4","2","360 م²","فيلا للبيع في شارع الديوان ، حي النرجس ، الرياض ، الرياضقبل 3 ساعة2,350,000 ريال360 م²2 4 للبيع : فيلا مودرن ( درج داخلي + شقتين )
الموقع : حي النرجس
المساحة : 360م
الواجهه : جنوبيه شارع 15م
عدد غرف النوم : 4 أجنحة نوم
فله للبيع في حي النرجس جنوب طريق الملك سلمان مساحة 360 موقع ممتاز جداً حي راقي ومكمتل البنيان واجهه جنوبيه شارع15 تكيف سب...   حي النرجس - الرياض","قبل 3 ساعة"
"فيلا للبيع في حي حطين ، الرياض ، الرياض","1,950,000 ريال","4","4","280 م²","فيلا للبيع في حي حطين ، الرياض ، الرياضقبل 5 ساعة1,950,000 ريال280 م²4 4 نعتذر للوسطاء
( ( فـــيلا للـــبيع ) )
الموقــع : حى الملقا (رياض الخزامى ) 
درج فى الصاله راقيه دوبلكس
 
مصعد   - تكيف مركزى - ضمانات على الفيلا - صاله فى السطح - مسطحات خضراء
 
المــساحـــــه : 280 م  
عرض الشارع : 15م
تتكون من :
الدور الارضى••• ...   حي حطين - الرياض","قبل 5 ساعة"
"فيلا للبيع في شارع رقم 224 ، حي الملقا ، الرياض ، الرياض","5,700,000 ريال","5","5","700 م²","فيلا للبيع في شارع رقم 224 ، حي الملقا ، الرياض ، الرياضقبل ساعة5,700,000 ريال700 م²5 5 للبيع فيلا سكنية جديدة بحي الملقا 
______________________
مساحة الفيلا ٧٠٠ م 
الواجهة غربية 
عرض الشارع ٢٨ م 
السعر ٥ مليون و٧٠٠ الف غير
 شامل الضريبة والسعي 
الفيلا تنفيذ شركة المغامس 
_____________________
مواصفات الفيلا ومكوناتها 
الدور الا...   حي الملقا - الرياض","قبل ساعة"
"فيلا للبيع في حي الملقا ، الرياض ، الرياض","4,000,000 ريال","5","5","1000 م²","فيلا للبيع في حي الملقا ، الرياض ، الرياضقبل ساعتين4,000,000 ريال1000 م²5 5 للبيع فيلا بحي الملقا الحمدان
المساحه 1000 م
شارع 20 شمالي
نظام درج صالة ملحق خارجي
مجلس رجال ومجلس نساء وصالة موسس مصعد ومدخل سيارة وقبو حوش كبير 
الدور الاول 5 غرفة نوم وصاله
وكذلك شقتين مقابل الدور الاول
من 3 غرف نوم وصاله
تكييف مخفي
الفيلا تحتاج ...   حي الملقا - الرياض","قبل ساعتين"
"فيلا للبيع في شارع رقم 356 ، حي النرجس ، الرياض ، الرياض","2,000,000 ريال","5","5","450 م²","فيلا للبيع في شارع رقم 356 ، حي النرجس ، الرياض ، الرياضقبل ساعة2,000,000 ريال450 م²5 5 كل شقة ٣ غرف نوم 
السوم وصل ٢ مليون 
مباشر   حي النرجس - الرياض","قبل ساعة"
"فيلا للبيع في حي الملقا ، الرياض ، الرياض","6,000,000 ريال","5","3","700 م²","فيلا للبيع في حي الملقا ، الرياض ، الرياضقبل 11 دقيقة6,000,000 ريال700 م²3 5 للبيع فيلا درج صاله حي ملقا السليدير حي راقي جدا شغل ممتاز جدا
جنوبيه شارع ١٨
المساحه ٧٠٠م
المواصفات الدور الارضي استقبال بالكامل ومصعد ومسبح وحوش وحديقة وغرفه كبار السن
الدور الاول
٥ اجنحه
وصاله كبيره
السطح
غرفه شغاله وغسيل وصاله ومجلس
البيع ٦م...   حي الملقا - الرياض","قبل 11 دقيقة"
"فيلا للبيع في حي القيروان ، الرياض ، الرياض","2,100,000 ريال","4","5","354 م²","فيلا للبيع في حي القيروان ، الرياض ، الرياضقبل ساعة2,100,000 ريال354 م²5 4 للبيع فيلا درج صالة بالقيروان 
( مخطط الدار )
تصميم مودرن
المساحة 354م
شارع 20 شمالي
ملحق خارجي ، مصعد راكب ،
وغرفة سائق
الدور الارضي :
مجالس استقبال
الدور العلوي :
4 اجنحه نوم وصالة
السطح :
غرفة خادمة وصالة العاب 
ودورة مياه وسطح 
السوم مليونين...   حي القيروان - الرياض","قبل ساعة"
"فيلا للبيع في حي النرجس ، الرياض ، الرياض","2,200,000 ريال","4","5","360 م²","فيلا للبيع في حي النرجس ، الرياض ، الرياضقبل ساعتين2,200,000 ريال360 م²5 4 للبيع فيلا درج صاله فقط 
مساحة  ٣٦٠ومتر 
شارع ٢٠  جنوبيه 
الموصفات مدخل سياره غرفه سائق ملحق خارجي تكيف مركـزي 
مصعد ركب 
مجلس رجال مقلط مجلس نساء 
مطبخ و مستودع 
الدور الاول ٤ اجنحة × صاله 
الدور العلوي غرفة شغالة وغرفة غسيل × صاله مع السطح 
علي ال...   حي النرجس - الرياض","قبل ساعتين"
"فيلا للبيع في حي النرجس ، الرياض ، الرياض","1,300,000 ريال","4","5","250 م²","فيلا للبيع في حي النرجس ، الرياض ، الرياضقبل ساعة1,300,000 ريال250 م²5 4 دوبلكس بحي النرجس
المساحة. ٢٥٠م مودرن
السعي في ذمة من يصل عن طريقي   حي النرجس - الرياض","قبل ساعة"
"فيلا للبيع في شارع المسراب ، حي الوادي ، الرياض ، الرياض","2,300,000 ريال","5","5","375 م²","فيلا للبيع في شارع المسراب ، حي الوادي ، الرياض ، الرياضقبل 12 دقيقة2,300,000 ريال375 م²5 5 للأسف الموقع عير صحيح 
البيع ٦فلل في حي الوادي مساحة 
٣٧٥م جنوبي شارع ١٥ 
درج صاله  شغال مدرن مكونه من مدخل سيار غرفه سائق ملحق مجلس مقلط صاله مطبخ 
مسبح مواسس مصعد الدور الاول ٤غرف نوم وصاله السطح غرفه خدمه وغرفه غسيل صاله العاب 
البيع ٢مليون ٣٠٠ ع...   حي الوادي - الرياض","قبل 12 دقيقة"
"فيلا للبيع في حي النرجس ، الرياض ، الرياض","2,300,000 ريال","5","5","360 م²","فيلا للبيع في حي النرجس ، الرياض ، الرياضقبل ساعتين2,300,000 ريال360 م²5 5 فله للبيع في حي النرجس جنوب طريق الملك سلمان مساحة 360 موقع ممتاز جداً حي راقي ومكمتل البنيان واجهه جنوبيه شارع15 تكيف سبيلت تشطيبات فاخره جداً جميع الضمانات موجوده كهرباء سباكه تصوير فديو وصور من اساسات البنيان حتى النهايه مسطح بنيان داخلي مسطح(850)...   حي النرجس - الرياض","قبل ساعتين"
"فيلا للبيع في طريق الأمير تركي بن عبدالعزيز الأول ، حي الملقا ، الرياض ، الرياض","4,200,000 ريال","5","5","566 م²","فيلا للبيع في طريق الأمير تركي بن عبدالعزيز الأول ، حي الملقا ، الرياض ، الرياضقبل 47 دقيقة4,200,000 ريال566 م²5 5 للبيع فلل بحي الملقا مخطط تلال حطين
المساحه ٥٦٦
الوجهه جنوبيه شارع ١٨
*مواصفات الفيلا*
الدور الارضي
مجلس رجال ومقلط ومجلس نساء وصاله وملحق خارجي ومدخل سياره وغرفه سائق 
الدور العلوي
٥ غرف نوم وصاله
السطح
غرفه غسيل وغرفه خادمه وصاله رياضيه
*مميزات الف...   حي الملقا - الرياض","قبل 47 دقيقة"
"فيلا للبيع في طريق عثمان بن عفان ، حي النرجس ، الرياض ، الرياض","1,900,000 ريال","3","5","375 م²","فيلا للبيع في طريق عثمان بن عفان ، حي النرجس ، الرياض ، الرياضقبل 7 ساعة1,900,000 ريال375 م²5 3 فلل للبيع تشطيب ممتاز بحي النرجس شمال طريق الملك سلمان
حي النرجس الكيلو الرابع
درج داخلي ٢ شقة.... الأرضي استقبال العلوي غرف نوم 
كل فيلا درج داخلي و٢ شقة مدخل خاص
٣ غرف نوم (٣ أجنحة)  السطح غرفة غسيل غرفة شغالة -  صالة كبيرة + مجلس نساء - مجلس رجال...   حي النرجس - الرياض","قبل 7 ساعة"
"فيلا للبيع في شارع الدهناء ، حي الملقا ، الرياض ، الرياض","2,800,000 ريال","5","5","450 م²","فيلا للبيع في شارع الدهناء ، حي الملقا ، الرياض ، الرياضقبل 50 دقيقة2,800,000 ريال450 م²5 5 للبيع عدد٢ فيلا حي الملقا
المساحه ٤٥٠متر شارع 15
الموصفات مدخل سياره وغرفة سائق
ملحق خارجي مجلس ومقلط
وصاله ومجلس نساء
ومصعد  وتكييف مخفي ارضيات رخام 
الدور الأول ٥غرف نوم وصالة
السطح غرفه وجلسه
السعر علي ٢مليون ٩٠٠
يوجد ضمانات على الفيلا   حي الملقا - الرياض","قبل 50 دقيقة"
"فيلا للبيع في حي الياسمين ، الرياض ، الرياض","2,500,000 ريال","4","4","300 م²","فيلا للبيع في حي الياسمين ، الرياض ، الرياضقبل ساعتين2,500,000 ريال300 م²4 4 للبيع مشروع ١٤ فيلا
درج صاله فقط 
في حي الياسمين
مربع ١٠
شغل مودرن تشطيبات فاخرة
مساحات مختلفه
تبدأ من ٣٠٠م الا ٣٤٠م
شارع ١٥ شمالي
المواصفات لكل الفيلا 
مدخل سياره غرف حارس مجلس رجال ومجلس نساء ومطبخ ومصعد ومسبح شلال
استقبال كامل 
وقبو لا جميع الفيلا...   حي الياسمين - الرياض","قبل ساعتين"
