price,beds,baths,size,district
1400000,7,5,384,East
1080000,4,5,435,East
1200000,7,5,500,East
698995,4,5,335,East
1450000,4,4,300,East
1070000,3,4,352,East
1550000,3,2,360,East
2050000,5,5,425,East
1900000,5,5,375,East
1300000,5,5,372,East
1100000,1,5,283,East
1300000,4,5,250,East
1100000,5,5,235,East
1100000,4,4,288,East
1300000,4,5,360,East
1500000,4,5,312,East
1300000,5,4,550,East
2800000,7,5,810,East
1150000,4,5,360,East
1100000,4,5,300,East
2500000,5,5,900,East
1250000,4,5,350,East
2300000,5,5,1080,East
1780000,5,5,401,East
1050000,4,5,300,East
1950000,5,5,475,East
1350000,5,5,360,East
1130000,5,4,348,East
1200000,4,5,372,East
1770000,5,5,402,East
930000,4,5,216,East
1850000,4,5,425,East
1300000,4,4,400,East
1300000,4,5,221,East
1000000,3,4,360,East
1600000,5,5,420,East
1200000,4,5,376,East
1120000,3,5,462,East
1000000,4,5,266,East
5500000,5,4,1125,East
1400000,5,5,306,East
3700000,4,4,562,East
1200000,5,4,300,East
1800000,5,4,485,East
6000000,7,2,1900,East
1180000,5,5,300,East
1290000,5,5,300,East
1950000,4,4,360,East
1600000,4,3,317,East
1050000,5,5,256,East
1200000,4,5,300,East
1600000,5,5,312,East
1100000,4,4,260,East
1270000,4,5,275,East
1150000,5,5,270,East
1200000,5,5,300,East
1050000,5,5,240,East
2350000,1,5,775,East
1300000,5,5,372,East
1500000,5,5,420,East
1700000,4,5,500,East
950000,3,4,360,East
930000,5,5,200,East
1120000,5,4,462,East
2500000,5,5,880,East
1050000,4,4,300,East
1350000,5,5,440,East
975000,3,4,312,East
1400000,5,4,515,East
1000000,5,5,209,East
1100000,2,2,500,East
2250000,2,1,650,East
1100000,5,5,265,East
1260000,4,5,390,East
1390000,5,5,350,East
3500000,5,5,900,East
2700000,7,5,984,East
1550000,5,5,360,East
1350000,5,5,369,East
1500000,4,4,360,East
1300000,5,5,360,East
1700000,5,5,325,East
1200000,5,5,625,East
1600000,5,5,455,East
1650000,6,4,362,East
1800000,5,5,500,East
1160000,4,5,340,East
1650000,4,5,450,East
1200000,5,5,348,East
3000000,5,5,750,East
1000000,4,4,288,East
1200000,5,5,250,East
1330000,4,4,380,East
1400000,5,5,325,East
1270000,5,5,370,East
1350000,5,5,400,East
2950000,4,2,400,East
1200000,4,5,348,East
1050000,4,4,288,East
1100000,4,4,300,East
1200000,4,5,300,East
1300000,5,4,360,East
920000,3,4,405,East
1250000,4,3,350,East
1400000,4,3,375,East
1850000,5,5,435,East
1700000,5,5,500,East
1930000,4,5,470,East
840000,6,5,225,East
2200000,5,5,405,East
1050000,4,4,294,East
2000000,5,5,750,East
2000000,5,5,468,East
2300000,5,5,700,East
1100000,4,4,330,East
900000,3,4,360,East
1100000,4,3,328,East
1280000,4,3,375,East
950000,3,3,312,East
1150000,5,5,300,East
6000000,7,5,2500,East
7000000,7,5,725,East
1500000,5,5,583,East
1250000,4,4,246,East
1700000,5,5,360,East
1600000,5,5,350,East
1000000,4,3,390,East
1260000,5,5,390,East
950000,3,4,367,East
2000000,4,5,450,East
1300000,4,4,360,East
1300000,5,5,360,East
1270000,5,5,275,East
1290000,5,4,300,East
1000000,5,5,270,East
4000000,7,5,900,East
1100000,5,5,260,East
1150000,5,5,278,East
1250000,4,5,390,East
3000000,5,5,690,East
1800000,5,4,420,East
950000,3,3,367,East
1350000,5,5,250,East
1300000,5,5,250,East
1420000,4,5,372,East
1250000,4,5,390,East
1130000,3,5,348,East
1150000,5,5,300,East
1350000,5,5,400,East
1700000,4,4,400,East
1400000,5,4,288,East
3500000,7,5,840,East
1300000,5,5,400,East
960000,5,5,288,East
1250000,5,5,360,East
1160000,4,4,288,East
1000000,4,5,240,East
1500000,5,5,360,East
3015000,5,5,1675,East
3000000,5,5,750,East
5000000,5,5,972,East
1000000,5,5,205,East
1380000,5,5,280,East
1070000,4,5,300,East
1300000,4,4,640,East
1350000,5,5,360,East
1200000,3,5,314,East
1200000,5,5,640,East
1850000,5,5,420,East
1500000,5,5,375,East
1850000,3,2,375,East
1400000,5,5,333,East
1230000,5,5,348,East
1450000,5,5,400,East
1050000,4,3,350,East
1300000,5,5,360,East
1400000,5,5,429,East
1250000,3,3,375,East
3000000,7,3,900,East
960000,4,5,245,East
980000,3,3,375,East
2200000,5,5,438,East
1050000,3,3,400,East
1500000,4,5,480,East
1050000,5,5,250,East
4000000,5,2,985,East
1280000,5,5,370,East
2000000,5,5,350,East
1150000,4,5,300,East
1280000,5,5,360,East
1160000,5,4,288,East
1700000,5,5,420,East
1000000,4,4,372,East
1090000,5,5,258,East
4700000,3,5,1030,East
1300000,5,5,390,East
1100000,3,3,325,East
4300000,5,5,900,East
1400000,5,5,280,East
850000,5,5,625,East
3300000,7,5,503,west
1350000,6,5,312,west
1350000,7,5,400,west
698995,4,5,335,west
1300000,7,5,300,west
900000,5,5,300,west
1220000,5,5,375,west
1025000,5,5,352,west
1300000,5,5,360,west
970000,3,4,375,west
1200000,4,4,250,west
1100000,5,5,300,west
1750000,5,5,563,west
950000,5,5,300,west
1150000,5,5,346,west
1000000,5,4,300,west
980000,5,5,255,west
850000,5,5,200,west
1070000,5,3,287,west
1070000,5,5,300,west
3400000,6,5,630,west
1050000,5,5,420,west
1450000,5,5,375,west
1150000,3,5,450,west
950000,4,5,250,west
970000,3,5,370,west
1050000,5,5,250,west
1000000,4,4,440,west
980000,4,4,328,west
820000,5,5,250,west
840000,5,5,200,west
840000,5,5,250,west
870000,4,5,200,west
910000,4,4,300,west
1070000,5,5,300,west
1150000,5,5,300,west
1000000,5,5,216,west
950000,4,4,210,west
970000,3,5,375,west
1610000,5,5,450,west
1120000,3,4,420,west
1020000,4,2,270,west
1000000,3,5,420,west
1500000,4,5,550,west
1030000,5,5,375,west
800000,3,4,312,west
950000,4,5,300,west
1000000,4,3,220,west
850000,4,5,360,west
850000,4,5,200,west
950000,4,4,210,west
1020000,3,4,350,west
840000,5,5,225,west
1060000,5,5,375,west
950000,4,4,300,west
1300000,5,5,825,west
850000,5,5,250,west
1030000,3,5,375,west
1080000,3,5,300,west
1020000,5,5,300,west
2500000,5,5,684,west
980000,6,4,369,west
900000,4,5,360,west
1300000,5,5,375,west
920000,5,5,200,west
1180000,5,5,360,west
1320000,5,5,390,west
2800000,5,5,900,west
1150000,5,5,325,west
1130000,4,4,360,west
1120000,4,2,300,west
1200000,4,5,250,west
1080000,4,4,300,west
1100000,5,5,300,west
1500000,4,4,255,west
1100000,5,5,300,west
1400000,5,5,420,west
1750000,5,5,490,west
1000000,5,5,287,west
1000000,5,5,400,west
980000,5,5,300,west
1000000,4,5,250,west
1130000,4,4,312,west
1300000,5,5,270,west
1450000,4,5,365,west
970000,6,5,200,west
1100000,4,5,360,west
1230000,5,5,375,west
1210000,7,5,800,west
1300000,5,5,360,west
1050000,5,5,375,west
930000,4,3,200,west
790000,5,5,250,west
1070000,5,5,375,west
1050000,5,5,300,west
920000,4,5,280,west
1220000,5,5,375,west
880000,5,5,250,west
1350000,4,5,360,west
2500000,5,5,750,west
600000,1,3,300,west
900000,5,5,300,west
980000,5,4,370,west
1150000,5,5,345,west
1150000,5,5,213,west
1080000,5,5,312,west
1150000,4,3,300,west
820000,4,5,250,west
850000,5,5,200,west
1150000,5,5,270,west
